Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
HMG,4.067,3.3907,0.0,0.1959,1.6291,2.0313
HMNF,1.7072,10.381,0.0,0.0991,0.033,0.0471
HNNA,2.6401,5.2083,0.3061,0.2904,2.499,2.5545
HNRG,0.2525,20.28,0.7103,0.0299,0.7885,1.6401
HRZN,1.1281,9.9558,0.8505,0.0969,2.2328,2.9362
HURC,3.1994,12.7712,0.0064,0.0964,1.5514,3.2422
HUSA,-0.0079,0.0,0.0,-0.0327,14.209,15.2667
HVBC,0.3529,38.9895,0.4232,0.0251,0.1211,0.2828
HWBK,1.7754,11.8146,1.4508,0.1078,0.0434,0.0592
HWCC,0.5227,9.5472,0.7084,0.0858,1.7825,5.1397
IBA,5.6026,11.5791,0.1322,0.0882,2.4148,3.2774
ICCC,-0.4233,0.0,0.4491,-0.1068,1.3463,2.5032
ICCH,0.2704,47.069,0.0595,0.0152,0.4528,0.6097
IDSA,-0.043,0.0,0.7727,-0.0317,0.7594,1.7402
IDXG,-0.4263,0.0,0.0,-0.3701,1.8313,2.0868
IEC,1.0117,5.2772,0.9767,0.4102,0.6246,1.5149
IGC,-0.059,0.0,0.2761,-0.2215,1.159,1.3662
IGLD,-3733.7527,0.0,-35.1258,1.5828,0.7238,0.675
IHC,1.9251,18.3333,0.0,0.0635,4.8975,4.9563
IHT,0.1433,2.4366,0.7264,0.1445,1.5386,1.9549
IKNX,0.0703,120.4286,0.2251,0.0106,5.012,6.8722
IMMP,-0.0061,0.0,0.1983,-0.3802,6.9829,7.4333
IMRN,-0.0232,0.0,0.0,-0.3568,7.9801,8.7764
IMTE,-6.3713,0.0,0.3654,-1.2193,0.5715,1.2711
INOD,0.0002,0.0,0.1194,0.0001,1.504,1.9083
INS,0.7081,18.1972,0.0,0.2409,7.7399,7.574
INSE,-0.9586,0.0,-10.544,1.6477,0.7036,1.1205
INTG,1.7365,11.0324,-4.0656,-0.0929,0.8392,0.8392
INVE,-0.3585,0.0,0.4002,-0.139,0.8758,1.4313
IPWR,-5.6475,0.0,0.0,-1.7192,2.8587,4.1136
IROQ,0.4489,52.1277,0.1837,0.0213,0.0186,0.0259
ISDR,0.2069,45.4,0.0232,0.0326,7.2365,7.3054
ISIG,0.1182,12.4167,0.0,0.0857,2.9763,3.0999
ISR,-0.1218,0.0,0.0,-1.332,2.6147,2.9678
ISSC,-0.217,0.0,0.0,-0.107,7.1174,8.5577
IZEA,-0.4737,0.0,0.2114,-0.7922,0.5758,0.6119
JCS,-0.7416,0.0,0.0,-0.1631,2.1012,3.6371
JCTCF,0.6553,13.1515,0.0,0.1366,4.7203,9.4456
JHX,0.3314,53.1212,-3.9928,-0.6596,1.4047,2.1353
JMP,-0.1027,0.0,1.2663,-0.0261,2.7562,23.5426
JMU,-0.0835,0.0,-0.3278,5.5548,0.0263,0.2276
JVA,0.1885,22.8947,0.2544,0.0426,1.2984,2.7494
KBLM,0.0699,40.8,0.0,0.2081,0.4961,0.4961
KBSF,-9.0463,0.0,0.0201,-0.3309,4.2461,4.5637
KFFB,0.1567,51.3125,0.0105,0.0197,0.0773,0.1024
KFS,-0.6686,0.0,17.3074,-0.3999,2.3348,2.3453
KGJI,4.4965,0.1756,3.1276,0.0776,1.3923,1.7291
KIQ,-0.1081,0.0,0.0,-0.663,1.3885,3.5122
KMDA,0.5538,9.0909,0.0114,0.1984,3.4611,4.7049
KOSS,-0.4621,0.0,0.0,-0.2402,1.8305,3.8464
KRP,-1.8731,0.0,0.2903,-0.1886,9.1141,9.8986
KTCC,-0.1231,0.0,0.2964,-0.0112,0.7138,1.9666
KZIA,-0.125,0.0,0.0,-0.3138,2.1847,2.3823
LACQ,0.0849,0.0,0.0,0.4244,3.7873,4.3756
LAKE,0.0542,235.0,0.0203,0.0053,2.8815,7.3707
LARK,2.3853,9.6667,0.6191,0.1134,0.0313,0.0429
LAWS,0.6967,45.1429,0.1617,0.0627,0.8159,1.6147
LAZY,0.9799,0.0,0.3437,0.1633,0.268,1.2572
LEDS,-0.8381,0.0,0.4693,-0.5958,0.5119,0.8102
LEU,-12.38,0.0,-0.4753,0.3234,0.4178,1.1044
LGC,0.0636,98.2,0.0,0.5612,1.944,2.0313
LGL,0.2912,20.3333,0.0,0.0514,8.2402,9.9509
LINC,-0.2656,0.0,1.2233,-0.1642,1.0095,0.8843
LIVE,3.0217,2.9568,1.9921,0.1501,0.4421,1.7573
LIVX,-0.4622,0.0,0.2268,-0.6078,0.6604,0.7289
LLIT,-0.5147,0.0,0.0,-2.8589,0.6814,1.8677
LND,2.2208,5.5671,0.3652,0.1671,1.4052,1.8325
LOAN,0.4351,11.7083,0.6881,0.1311,0.5448,31.9316
LONE,0.4681,12.5862,1.9631,0.0869,0.4215,0.7182
LOOP,-0.4279,0.0,0.1054,-1.3597,3.9994,4.4294
LSBK,0.6645,22.8182,0.3872,0.0501,0.0701,0.076
LTRX,0.0373,69.0,0.0002,0.0286,1.4868,2.3926
LUB,-1.1378,0.0,0.3493,-0.298,0.1534,0.2421
LXFR,0.9432,18.7553,0.4183,0.1356,0.8421,1.9857
MANU,-0.2292,0.0,1.1608,-0.0881,0.8754,0.896
MAYS,1.4754,26.723,0.1023,0.056,3.5859,3.0807
MCEP,-0.7391,0.0,1.5395,-0.3022,0.7904,1.8442
MDLY,-0.4271,0.0,-10.5886,0.2021,1.0958,1.3411
MESO,-0.0824,0.0,0.1088,-0.0646,3.6716,4.2108
MGYR,0.3488,34.8,0.8657,0.0395,0.0283,0.0482
MICR,-0.3846,0.0,1.4609,-0.2687,0.5021,1.5297
MJCO,-0.1369,0.0,0.3019,-0.1107,0.9108,1.1365
MLP,0.026,330.6667,0.0399,0.0161,0.3367,0.9104
MLSS,-0.2197,0.0,0.0,-4.827,0.5791,1.2018
MNI,-10.2137,0.0,-2.2138,0.2334,0.6415,0.8328
MOSC,0.1221,61.375,0.0,1.0534,9.2783,10.4496
MOXC,-0.638,0.0,-0.7032,0.828,0.0281,0.0281
MPB,1.2409,15.5541,0.336,0.0475,0.0226,0.0288
MPVD,-0.1182,0.0,0.8794,-0.0408,0.6701,2.7607
MSBF,0.877,19.8333,1.4146,0.0725,0.0242,0.0275
MSON,-0.8094,640.0,0.0,-0.312,3.5224,4.745
MTEX,-1.6319,0.0,0.0684,-0.1535,0.6981,1.261
MTFB,-0.0531,0.0,-0.3953,0.3824,0.7088,0.7222
MTP,-2.4605,0.0,0.074,-0.8881,1.6734,2.2736
MTSL,-0.3749,0.0,0.0,-0.4869,0.7737,0.8099
MUDS,0.0646,98.8,0.0,0.336,0.7081,0.7772
MVBF,0.9977,17.3462,0.1136,0.0679,0.0241,0.0798
